"Carrier Group","Delivery Type","Segment","Sms Relay","Sms Phone Number","Date","MonthYear","Quarter","Week","Sent","Delivered","Clicks","Unique Clicks","Clicks to Sent Rate","Unique Clicks to Sent Rate","Unsubscribes","Unique Unsubscribes","Bounces","Refusals","Revenue","RPS","Complaints","Unique Complaints"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-02-10","Feb, 2026","Q1, 2026","Week 07, 2026","349","348","34","27","9.7421","7.7364","0","0","0","0","0.6523","0.001869054441260745","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-02-09","Feb, 2026","Q1, 2026","Week 07, 2026","324","324","126","105","38.8889","32.4074","0","0","0","0","0.40580000000000005","0.0012524691358024693","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-02-08","Feb, 2026","Q1, 2026","Week 06, 2026","281","281","217","168","77.2242","59.7865","0","0","0","0","2.0894000000000004","0.007435587188612101","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-02-07","Feb, 2026","Q1, 2026","Week 06, 2026","98","98","25","20","25.5102","20.4082","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-02-06","Feb, 2026","Q1, 2026","Week 06, 2026","543","543","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-02-05","Feb, 2026","Q1, 2026","Week 06, 2026","1036","1035","1","1","0.0965","0.0965","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-02-04","Feb, 2026","Q1, 2026","Week 06, 2026","1145","1145","2","2","0.1747","0.1747","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-02-03","Feb, 2026","Q1, 2026","Week 06, 2026","839","839","3","3","0.3576","0.3576","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-02-02","Feb, 2026","Q1, 2026","Week 06, 2026","776","775","0","0","0.0000","0.0000","0","0","1","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-02-01","Feb, 2026","Q1, 2026","Week 05, 2026","667","668","2","1","0.2999","0.1499","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-01-31","Jan, 2026","Q1, 2026","Week 05, 2026","391","391","3","2","0.7673","0.5115","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-01-30","Jan, 2026","Q1, 2026","Week 05, 2026","187","187","4","3","2.1390","1.6043","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-01-29","Jan, 2026","Q1, 2026","Week 05, 2026","90","90","2","2","2.2222","2.2222","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-01-28","Jan, 2026","Q1, 2026","Week 05, 2026","93","93","1","1","1.0753","1.0753","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546961","2026-01-27","Jan, 2026","Q1, 2026","Week 05, 2026","88","88","1","1","1.1364","1.1364","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-02-10","Feb, 2026","Q1, 2026","Week 07, 2026","362","362","65","50","17.9558","13.8122","0","0","0","0","0.4748","0.0013116022099447513","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-02-09","Feb, 2026","Q1, 2026","Week 07, 2026","351","351","158","127","45.0142","36.1823","0","0","0","0","0.37","0.001054131054131054","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-02-08","Feb, 2026","Q1, 2026","Week 06, 2026","230","230","192","156","83.4783","67.8261","0","0","0","0","5.0569","0.021986521739130432","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-02-07","Feb, 2026","Q1, 2026","Week 06, 2026","99","99","22","22","22.2222","22.2222","0","0","0","0","0.37","0.003737373737373737","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-02-06","Feb, 2026","Q1, 2026","Week 06, 2026","508","508","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-02-05","Feb, 2026","Q1, 2026","Week 06, 2026","988","988","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-02-04","Feb, 2026","Q1, 2026","Week 06, 2026","1190","1190","8","6","0.6723","0.5042","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-02-03","Feb, 2026","Q1, 2026","Week 06, 2026","840","840","2","2","0.2381","0.2381","0","0","0","0","0.217","0.00025833333333333334","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-02-02","Feb, 2026","Q1, 2026","Week 06, 2026","756","756","2","1","0.2646","0.1323","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-02-01","Feb, 2026","Q1, 2026","Week 05, 2026","703","704","1","1","0.1422","0.1422","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-01-31","Jan, 2026","Q1, 2026","Week 05, 2026","401","401","1","1","0.2494","0.2494","0","0","0","0","0.9033","0.0022526184538653364","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-01-30","Jan, 2026","Q1, 2026","Week 05, 2026","178","178","3","2","1.6854","1.1236","0","0","0","0","0.2917","0.0016387640449438204","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-01-29","Jan, 2026","Q1, 2026","Week 05, 2026","93","93","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-01-28","Jan, 2026","Q1, 2026","Week 05, 2026","99","99","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546963","2026-01-27","Jan, 2026","Q1, 2026","Week 05, 2026","90","91","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-02-10","Feb, 2026","Q1, 2026","Week 07, 2026","331","331","48","37","14.5015","11.1782","0","0","0","0","0.4326","0.0013069486404833836","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-02-09","Feb, 2026","Q1, 2026","Week 07, 2026","373","372","165","135","44.2359","36.1930","0","0","0","0","0.35","0.000938337801608579","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-02-08","Feb, 2026","Q1, 2026","Week 06, 2026","288","288","221","180","76.7361","62.5000","0","0","0","0","2.7464000000000004","0.009536111111111113","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-02-07","Feb, 2026","Q1, 2026","Week 06, 2026","91","91","27","23","29.6703","25.2747","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-02-06","Feb, 2026","Q1, 2026","Week 06, 2026","517","517","1","1","0.1934","0.1934","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-02-05","Feb, 2026","Q1, 2026","Week 06, 2026","1068","1067","1","1","0.0936","0.0936","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-02-04","Feb, 2026","Q1, 2026","Week 06, 2026","1209","1209","2","2","0.1654","0.1654","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-02-03","Feb, 2026","Q1, 2026","Week 06, 2026","845","845","6","5","0.7101","0.5917","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-02-02","Feb, 2026","Q1, 2026","Week 06, 2026","819","819","2","1","0.2442","0.1221","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-02-01","Feb, 2026","Q1, 2026","Week 05, 2026","713","713","2","2","0.2805","0.2805","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-01-31","Jan, 2026","Q1, 2026","Week 05, 2026","415","415","2","1","0.4819","0.2410","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-01-30","Jan, 2026","Q1, 2026","Week 05, 2026","171","171","2","2","1.1696","1.1696","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-01-29","Jan, 2026","Q1, 2026","Week 05, 2026","74","74","1","1","1.3514","1.3514","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-01-28","Jan, 2026","Q1, 2026","Week 05, 2026","95","95","1","1","1.0526","1.0526","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546966","2026-01-27","Jan, 2026","Q1, 2026","Week 05, 2026","78","78","1","1","1.2821","1.2821","0","0","0","0","0","0","0","0"
